totalneto,codagente,nomagente,codgrupo,codsubgrup,nomgrupo,nomsubgrup,codart,nomart,cantfact,cantdevol,cantneto
7324.52,2,VENTAS DIRECTAS,6,3,VEGETALES CONGELADOS,JULIANAS,VEGC0006,CEBOLLA AMARILLA(JULIANAS)1/2 KILO,4,0,4
7619.15,2,VENTAS DIRECTAS,6,3,VEGETALES CONGELADOS,JULIANAS,VEGC0024,CHILE DULCE ROJO 1/2 KILO,4,0,4
39910.05,2,VENTAS DIRECTAS,6,4,VEGETALES CONGELADOS,BASTONES,VEGC0012,YUCA (BASTONES)1/2 KILO,25,0,25
33456.98,2,VENTAS DIRECTAS,6,4,VEGETALES CONGELADOS,BASTONES,VEGC0004,CAMOTE (BASTONES),19,0,19
9576.3,2,VENTAS DIRECTAS,6,4,VEGETALES CONGELADOS,BASTONES,VEGC0013,ZANAHORIA(BASTONES)1/2 KILO,7,0,7
12822.2,2,VENTAS DIRECTAS,6,4,VEGETALES CONGELADOS,BASTONES,VEGC0017,VAINICAS 1/2 KILO,7,0,7
5480,2,VENTAS DIRECTAS,6,4,VEGETALES CONGELADOS,BASTONES,VEGC0020,VAINICAS BABY 1/2 KILO,2,0,2
19348.32,2,VENTAS DIRECTAS,6,5,VEGETALES CONGELADOS,RODAJAS,VEGC0014,ZANAHORIA(RODAJAS)1/2 KILO,16,0,16
20820.8,2,VENTAS DIRECTAS,6,5,VEGETALES CONGELADOS,RODAJAS,VEGC0011,CHILE JALAPEÑO(RODAJAS)1/2 KILO,11,0,11
17730,2,VENTAS DIRECTAS,6,5,VEGETALES CONGELADOS,RODAJAS,VEGC0015,ZUCCINNI (RODAJAS)1/2 KILO,9,0,9
967,2,VENTAS DIRECTAS,6,5,VEGETALES CONGELADOS,RODAJAS,VEGC0032,PEPINO(RODAJAS)1/2 KILO,1,0,1
15707.6,2,VENTAS DIRECTAS,6,6,VEGETALES CONGELADOS,LONJAS,VEGC0010,CHILE DULCE VERDE (LONJAS)1/2 KILO,9,0,9
209103.8845,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0005,FRESAS 1/2 KILO,80.66,0,80.66
121305.615,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0004,MANGO 1/2 KILO,77.496,0,77.496
63193.761,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0021,CHUNKS DE SANDIA 1/2 KILO,60.83,0,60.83
103108.624,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0001,PIÑA 1/2 KILO,56.126,0,56.126
